GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	OBSERVER ORCID ID	SAMPLING EVENT IDENTIFIER	OBSERVATION TYPE	PROTOCOL NAME	PROTOCOL CODE	PROJECT NAMES	PROJECT IDENTIFIERS	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	CHECKLIST COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS505706797	2021-04-16 04:40:48.478505	20860	species	avibase-36171C2B	Loggerhead Shrike	Lanius ludovicianus				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-30		obsr436577		S37218418	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525813576	2021-04-16 04:40:48.478505	16388	species	avibase-FD5DACEE	Northern Beardless-Tyrannulet	Camptostoma imberbe				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-26		obsr436577		S37218375	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525806302	2021-08-19 16:53:39.941401	34224	species	avibase-4E74AE22	Northern Cardinal	Cardinalis cardinalis				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-06		obsr436577		S37215366	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525813144	2023-08-18 17:05:02.022448	34224	species	avibase-4E74AE22	Northern Cardinal	Cardinalis cardinalis				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-22		obsr436577		S37216192	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505647909	2021-08-19 16:53:02.893557	34224	species	avibase-4E74AE22	Northern Cardinal	Cardinalis cardinalis				3					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-03		obsr436577		S37214697	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS519840302	2021-08-19 16:53:02.893557	27870	species	avibase-7EFF698D	Northern Mockingbird	Mimus polyglottos				2					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-03		obsr436577		S37214697	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505706429	2021-04-16 04:40:48.478505	33676	species	avibase-709AF716	Northern Waterthrush	Parkesia noveboracensis				X					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-28		obsr436577		S37218400	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505657687	2021-08-19 16:53:39.941401	23876	species	avibase-2C1981BB	Northern Rough-winged Swallow	Stelgidopteryx serripennis				X					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-06		obsr436577		S37215366	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525812823	2021-04-16 04:40:48.478505	23876	species	avibase-2C1981BB	Northern Rough-winged Swallow	Stelgidopteryx serripennis				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-21		obsr436577		S37216175	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525807496	2021-04-16 04:40:48.478505	33401	species	avibase-000482C9	Orchard Oriole	Icterus spurius				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-09		obsr436577		S37215740	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525813382	2021-04-16 04:40:48.478505	33401	species	avibase-000482C9	Orchard Oriole	Icterus spurius				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-24		obsr436577		S37216226	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525813145	2023-08-18 17:05:02.022448	33401	species	avibase-000482C9	Orchard Oriole	Icterus spurius				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-22		obsr436577		S37216192	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS528927414	2021-04-16 04:40:48.478505	33401	species	avibase-000482C9	Orchard Oriole	Icterus spurius				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-28		obsr436577		S37218400	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505670585	2021-04-16 04:40:48.478505	7737	species	avibase-1327AC55	Osprey	Pandion haliaetus				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-24		obsr436577		S37216226	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525809888	2021-08-19 16:53:40.851334	34331	species	avibase-0BDB87DE	Painted Bunting	Passerina ciris				2					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-10		obsr436577		S37215786	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525812376	2021-04-16 04:40:48.478505	34331	species	avibase-0BDB87DE	Painted Bunting	Passerina ciris				2					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-16		obsr436577		S37215935	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525811773	2021-04-16 04:40:48.478505	34331	species	avibase-0BDB87DE	Painted Bunting	Passerina ciris				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-15		obsr436577		S38675906	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS526020288	2021-04-16 04:40:48.478505	34331	species	avibase-0BDB87DE	Painted Bunting	Passerina ciris				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-29		obsr436577		S38691246	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525813205	2021-04-16 04:40:48.478505	34331	species	avibase-0BDB87DE	Painted Bunting	Passerina ciris				2					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-23		obsr436577		S37216211	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525810025	2021-04-16 04:40:48.478505	34331	species	avibase-0BDB87DE	Painted Bunting	Passerina ciris				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-12		obsr436577		S37215857	Historical	Historical	P62					10.0000	1	0		0	1	0				
